Chip type,Server power rating (W),IT power per server (W),Server size,IT power per GPU (W),Notes
A100,6500,7410,8,926.25,"DGX A100 is officially 6500 W, bumping up 1.14 for IT power overhead (standard assumption from frontier data centers). See sheet: https://docs.google.com/spreadsheets/d/1DuXY5E8qC-CqRrP7QgQdai5tUL-Qh4yxZITZVvBTB_o/edit?gid=400445942#gid=400445942"
H100,10200,11628,8,1453.5,Based on DGX H100 multiplied by 1.14x IT power overhead
GB200,132000,150480,72,2090,Based on NVL72 power rating multiplied by standard 1.14x IT power overhead
GB300,140000,159600,72,2216.666667,Based on NVL72 power rating multiplied by standard 1.14x IT power overhead
